Table 0:
Private IP Address | Public IP Address
Used within a local or private network | Used for communication over the internet
Not routable on the public internet | Routable on the public internet
Scope is limited to the local network | Scope is global
Assigned by router or DHCP server | Assigned by ISP
Unique within a local network | Globally unique
Requires NAT for internet access | Does not require NAT
Hidden from external networks | Visible on the internet
Uses reserved private IP ranges | Uses globally assigned IP ranges
Freely usable inside networks | May involve additional ISP cost
Example: 192.168.1.10 | Example: 203.0.113.10

